P00001606T0076|14 37|alkaline phosphatases and 5
P08524036A0747|65 85|stripe 2 enhancer region
P08524229T0000|77 80|SRS4
P08524235A0695|32 35|dMax
P08524235A0695|99 120|helix-loop-helix region
P08524235A0695|164 169|max RNA
P08524235A0695|78 83|helix 1
P08524241A0212|26 30|HSP82
P08524241A0212|59 62|IME1
P08524260A0835|20 31|bovine LTBP-2
P08524260A0835|109 132|growth factor-like repeats
P08524260A0835|240 249|fibrillins
P08524260A0835|253 258|LTBP-1
P08524260A0835|150 166|consensus sequence
P08524260A0835|56 66|human LTBP-2
P08524267A1022|45 73|wild-type prothymosin alpha gene
P08524267A1022|116 131|myc-derived genes
P08524272T0000|58 60|Jak
P08524272T0000|78 122|SH2 domain-containing tyrosine phosphatase SHPTP1
P08524284A0309|38 42|cDNAs
P08524284A0309|62 69|PTF delta
P08524284A0309|133 148|native PTF complex
P08524284A0309|100 116|cognate antibodies
P08524284A0309|51 58|PTF gamma
P08524292A1022|44 46|YY1
P08524292A1022|101 103|Sp1
P08524292A1022|44 46|YY1
P08524292A1022|93 95|AP1
P08524294A0652|3 11|skp1+ gene
P08524314A0216|3 6|TEA1
P08524314A0216|131 134|Gal4
P08524314A0216|148 166|DNA-binding proteins
P08524314A0216|70 78|N terminus
P08529098A0549|54 79|yeast mitochondrial proteins
P08529098A0549|88 91|SMF2
P08529098A0549|135 139|exon 6
P08529098A0549|81 84|SMF1
P08529630A0840|26 37|P protein mRNA
P08529654A0589|14 41|cyclophilin amino acid sequence
P08529654A0589|120 124|Cyp-1
P08529654A0589|66 92|cytosolic cyclophilin isoform
P08529662A0507|42 46|ERp57
P08530107A1003|48 56|histidase
P08530107A1003|48 56|histidase
P08530149A0689|12 20|promoters
P08530342T0000|3 19|human gp39 promoter
P08530345A0880|55 66|TGACCT motifs
P08530345A0880|115 124|DR2 element
P08530345A0880|109 111|DR1
P08530369A0099|57 88|consensus autophosphorylation site
P08530369A0099|96 119|Src family tyrosine kinases
P08530384A0559|68 78|Oct proteins
P08530384A0559|157 161|BOB.1
P08530384A0559|170 173|Oct1
P08530384A0559|176 179|Oct2
P08530384A0559|163 167|OBF.1
P08530384A0559|119 125|Oct-DNA
P08530418A1182|30 46|TR2 orphan receptor
P08530418A1182|106 113|RARE beta
P08530418A1182|117 123|CRBPIIp
P08530418A1182|101 104|HREs
P08530432A0093|14 27|mutant proteins
P08530503A1004|6 8|ARF
P08531373A0470|75 77|SjS
P08532536A0925|16 24|hFOB cells
P08532536A0925|81 85|BMP-2
P08532536A0925|160 172|growth factors
P08532536A0925|174 182|cytokines
P08532536A0925|112 132|epidermal growth factor
P08532536A0925|43 79|TGF-beta and bone morphogenetic protein-2
P08533472A0777|12 26|protein products
P08533472A0777|157 194|human interleukin enhancer-binding factor
P08533472A0777|196 200|ILF-2
P08533472A0777|29 32|ORFs
P08533473A0375|31 38|ADH1 gene
P08533473A0375|74 91|than 20 EST sequences
P08533757A0204|140 144|BRCA1
P08534367A0984|17 22|PTP-S4
P08534367A0984|69 74|exon E1
P08534848A0188|8 17|NR isoforms
P08534848A0188|8 17|NR isoforms
P08534855A0000|3 21|Arabidopsis FAD7 gene
P08534855A0000|30 66|chloroplast omega-3 fatty acid desaturase
P08535138A0857|18 19|G0
P08535138A0857|98 103|cycMs4
P08536694A0000|0 13|Protein kinases
P08537388A0825|50 63|distal promoter
P08537388A0825|137 142|WNT-5A
P08537403A0336|3 22|protein kinase domains
P08537403A0336|33 37|LIMK2
P08537403A0336|25 29|LIMK1
P08538052A0000|1 25|human recombinant cDNA clone
P08538052A0000|80 86|THZif-1
P08538052A0000|132 166|human promyelocytic leukemia HL60 cells
P08538052A0000|308 337|nuclease-hypersensitive element
P08538052A0000|348 361|human c-myc gene
P08538052A0000|276 293|DNA-binding protein
P08538052A0000|109 119|cDNA library
P08538052A0000|61 78|zinc-finger protein
P08538382A1012|0 12|Erythrocyte AA
P08538702A0214|45 49|ABA-1
P08538702A0214|71 78|gp15/400
P08542026A0792|0 2|DAF
P08542026A0792|32 72|complement regulatory short consensus repeats
P08542026A0792|151 161|chromosome 1
P08542026A0792|74 77|SCRs
P08542026A0792|6 21|70 kD glycoprotein
P08542027A1471|53 59|LU genes
P08542027A1471|88 91|CD44
P08543173A0314|9 15|TATA box
P08543275A0130|183 185|Sea
P08543810A0000|19 23|genes
P08543810A0000|121 131|cDNA library
P08544820T0000|87 105|Drosophila Lsp-2 gene
P08545502A0914|5 9|SPECT
P08546707T0000|51 62|NF-kappa Bp65
P08546707T0000|72 76|c-Rel
P08546707T0000|86 97|NF-kappa Bp50
P08546707T0000|64 67|RelA
P08547205A1060|104 106|SVT
P08548291A1059|28 32|SAPKs
P08548291A1059|87 105|serum response factor
P08548291A1059|81 85|Elk-1
P08548291A1059|112 131|serum response element
P08548291A1059|81 85|Elk-1
P08550425A1401|42 51|dimeric POR
P08550460A0374|3 28|transposon-inactivated gene
P08550460A0374|121 139|membrane lipoprotein
P08550460A0374|40 43|pilP
P08550462A0815|13 19|dra gene
P08550462A0815|22 37|open reading frame
P08550467A0863|28 31|scrB
P08550467A0863|125 152|scrB transcriptional start site
P08550467A0863|63 81|palindromic sequence
P08550470A1021|9 12|CheW
P08550470A1021|59 68|kinase CheA
P08550476A0610|26 29|epiF
P08550476A0610|78 96|palindromic sequence
P08550476A0610|129 140|epiA promoter
P08550476A0610|61 64|EpiQ
P08550476A0610|109 123|EpiQ binding site
P08550476A0610|45 64|activator protein EpiQ
P08550564T0000|0 12|CXC chemokines
P08550564T0000|125 150|human interleukin-8 receptor
P08551572A0155|44 71|translation initiation regions
P08551572A0155|114 122|MSB1 cells
P08551572A0155|134 137|CU91
P08551572A0155|129 137|MDCC-CU91
P08551572A0155|74 89|ICP4 and pp38 mRNAs
P08551577A0000|46 63|primary transcripts
P08551577A0000|106 109|mRNA
P08551577A0000|106 109|mRNA
P08552045A0973|8 25|consensus sequences
P08552045A0973|126 137|Cpflp protein
P08552045A0973|29 39|phosphatase
P08552082A0480|19 36|proline-rich region
P08552082A0480|59 68|SH3 domains
P08552082A0480|99 130|yeast actin-associated protein Abp1
P08552082A0480|39 41|CAP
P08552086A0150|33 55|vitamin D response element
P08552086A0150|77 81|c-fos
P08552086A0150|57 60|VDRE
P08552092A1678|109 128|entire promoter region
P08552092A1678|183 193|first intron
P08552092A1678|199 206|rep3 gene
P08552092A1678|144 156|protein factor
P08552093A0657|77 91|alpha i2 or alpha 0
P08552093A0657|130 138|G proteins
P08552093A0657|120 127|Gq family
P08552095A0686|43 46|Paf1
P08552095A0758|134 137|PAF1
P08552095A1115|0 3|Paf1
P08552095A1115|74 83|yeast genes
P08552096A0151|52 60|yeast gene
P08552096A0151|144 148|cdc34
P08552096A0151|62 65|UBS1
P08552387A0000|141 143|EWS
P08552387A0000|149 178|transcriptional factor gene ATF-1
P08552643A0261|138 140|IFN
P08552670A0665|0 3|Abp1
P08552670A0665|55 64|DNA polymer
P08552670T0000|49 95|autonomously replicating sequence-binding protein 1
P08553580A0102|6 21|open reading frame
P08553580A0102|23 26|ORF2
P08554069A0743|117 131|intron e and exon 6
P08554540A1480|26 52|HIT protein similarity regions
P08555076A0333|9 22|Amphotericin-B
P08555446A0000|24 28|ppa-1
P08555446A0000|54 83|Escherichia coli pyrophosphatase
P08555498A0427|0 26|Human LAF-4 readily hybridized
P08555753A0591|0 2|CBT
P08556707A1390|74 84|p53 promoter
P08556707A1390|183 193|SNU-C5 cells
P08556707A1390|74 76|p53
P08561607A1443|7 13|class II
P08561893A0100|38 48|bHLH factors
P08561893A0100|38 47|bHLH factor
P08561893A0100|77 102|E-box DNA consensus sequences
P08561897A0604|43 67|upstream stimulatory factor
P08561897A0604|76 78|Sp1
P08561897A0604|140 143|CREB
P08561897A0604|151 154|AP-1
P08561897A0604|88 101|former elements
P08561897A0604|69 71|USF
P08562688A0968|17 39|5' untranslated sequences
P08563483A0094|56 58|hCG
P08564488A1359|4 13|fibrinogen
P08565548A0196|77 92|bovine collagen II
P08566747A0756|0 2|SBF
P08566747A0756|79 81|Cln
P08566747A0756|0 2|SBF
P08566747A0756|83 93|Cdc28 kinase
P08566747A0756|13 20|promoter
P08566751A0455|48 55|Hox genes
P08566751A0455|137 154|Drosophila Hox genes
P08566751A0455|82 110|Drosophila regulatory sequences
P08566754A0783|12 23|site sequence
P08566754A0783|172 174|SF2
P08566754A0783|168 170|ASF
P08566756A0752|24 29|SAP 145
P08566756A0752|128 130|BPS
P08566773A1023|13 16|CTS1
P08566773A1023|20 23|CTS2
P08567556A0000|24 40|myoglobin-bound O2
P08567556A0000|42 45|MbO2
P08567683A0401|3 15|human purH cDNA
P08567717T0000|41 59|duplication gene MPS1
P08567847A1005|16 21|SM-CMA
P08569443A0123|68 69|T1
P08569680A0636|1 17|mutant areA product
P08569684A0000|88 102|catalytic domain
P08570615T0000|12 13|RB
P08570615T0000|15 17|E2F
P08570615T0000|15 17|E2F
P08572616A0000|14 35|differentiation markers
P08573083A0645|50 60|binding site
P08573083A0645|122 124|USF
P08573083A0645|142 161|human insulin promoter
P08573083A0645|67 120|ubiquitous transcription factor upstream stimulatory factor
P08574583A0658|3 12|Clb5 kinase
P08574583A0658|56 57|G2
P08575614A0264|0 10|Rad6 mutants
P08575618A1138|0 4|RNase
P08575754T0000|68 73|CDKN2D
P08575754T0000|94 117|cyclin D-dependent kinases
P08575754T0000|75 78|INK4
P08576042A0765|16 26|HrcA protein
P08576042A0765|99 114|delta hrcA strains
P08576042A0765|154 164|groE operons
P08576042A0765|236 239|mRNA
P08576042A0765|147 150|dnaK
P08576042A0765|44 47|hrcA
P08576131A0151|58 69|USF2 isoforms
P08576131A0151|58 61|USF2
P08576131A0151|58 61|USF2
P08576131A0685|35 45|USF subunits
P08576131A0685|117 138|recombinant USF proteins
P08576179A0126|9 11|PKR
P08576179A0126|48 97|eukaryotic translation initiation factor 2 alpha subunit
P08576179A0126|99 108|cIF-2 alpha
P08576179A0126|23 27|dimer
P08576245A0000|0 4|GRP78
P08576245A0000|64 87|glucose-regulated protein
P08576262A0160|3 14|IL-8 receptor
P08576262A0160|70 92|heterotrimeric G proteins
P08576262A0160|107 109|G16
P08576262A0160|18 52|seven-transmembrane spanning receptor
P08576546A0975|42 44|PDC
P08580083A0259|38 40|Fyn
P08580083A0259|87 106|Fyn-expression vector
P08580083A0259|148 183|chloramphenicol acetyltransferase gene
P08580083A0259|203 216|human T cell line
P08580083A0259|218 223|Jurkat
P08580083A0259|192 197|HIV LTR
P08580083A0259|120 134|reporter plasmid
P08580083A0259|58 71|viral promoters
P08581174A0472|30 53|non-inducible qutA mutants
P08581174A0472|124 134|QUTA protein
P08581174A0472|98 111|N-terminal half
P08582143A0614|119 120|S1
P08582143A0614|143 156|beta-lactamase
P08582633T0000|78 85|HMR locus
P08583783A0870|8 10|ANP
P08583846A0121|32 48|beta-2 transferrin
P08584026A0115|3 12|hIGF-I gene
P08584026A0115|29 30|P1
P08584026A0115|34 35|P2
P08584026A0115|19 27|promoters
P08584035A0740|46 60|nuclear proteins
P08584035A0740|158 177|DNA-protein complexes
P08584035A0740|130 144|3 beta I-A element
P08584530A0545|68 70|Raw
P08584530A0545|80 84|MEF25
P08584530A0545|72 76|MEF50
P08585324A0467|28 35|SSC1 gene
P08585324A0823|69 78|tau element
P08585883A0381|54 57|CD-1
P08585957A0101|16 42|putative transcription factor
P08585957A0101|129 158|Drosophila trithorax gene product
P08585957A0101|193 217|high mobility group proteins
P08585957A0101|98 108|zinc fingers
P08585994A0567|56 72|transcription unit
P08585994A0567|125 152|right arm of the third chromosome
P08586643A0951|3 27|purified recombinant enzyme
P08589358A0235|20 49|recombinant human erythropoietin
P08589358A0841|16 29|erythropoietin
P08589358A0841|108 109|Hb
P08589735A0577|42 56|promoter regions
P08589735A0577|124 127|Ubi1
P08589735A0577|103 106|Adh1
P08590465A0773|43 64|S. pombe URA1 gene product
P08590465A0773|88 114|S. cerevisiae URA2 gene product
P08592590A0822|83 92|interferon
P08593813A0967|58 65|Sp1 mRNAs
P08595012A0817|27 31|tcPO2
P08595012A0817|40 42|LDF
P08595414A0000|117 128|model genomes
P08595414A0000|185 198|adjacent clones
P08595658A0961|3 14|DNA sequences
P08595878A0201|42 45|PP2A
P08595878A0201|93 106|tyrosine kinase
P08595878A0201|108 110|RTK
P08595878A0201|67 70|Ras1
P08597108A0642|28 33|QBMD05
P08597596A0135|36 49|ABC transporter
P08597636A0000|3 12|T-box motif
P08598051T0000|66 104|RNP consensus-sequence RNA-binding domains
P08598449A0784|56 67|B lymphocytes
P08598449A0784|129 158|src-like protein tyrosine kinases
P08598449A0784|185 212|ras-GTPase-activating protein
P08598449A0784|69 72|CD38
P08599945T0000|14 42|alpha-amanitin conserved domain
P08599946A0999|39 48|p40 complex
P08599946A0999|52 75|ribonucleoprotein complex
P08600028A1129|41 65|prothymosin intron enhancer
P08600028A1129|119 128|Myc protein
P08601283A0875|21 33|SECIS elements
P08601283A0875|57 60|ORFs
P08601283A0875|57 59|ORF
P08601283A0875|21 32|SECIS element
P08601283A0875|64 86|bacterial selenoproteins
P08601283A0875|39 55|open reading frames
P08601616A0726|19 29|pds1 mutants
P08601806A0875|20 24|RPF-1
P08602169A0484|40 58|endonuclease III site
P08602169A0484|110 121|HML alpha loci
P08602169A0484|99 106|MAT alpha
P08603921A1346|44 64|calmodulin binding site
P08604338A0198|4 12|EWS-FLI-1
P08604338A0198|39 58|transcription factors
P08604338A0198|97 104|ets boxes
P08604338A0198|115 130|promoter elements
P08604338A0198|81 92|ets sequences
P08604338A0198|16 28|FLI-1 proteins
P08604338A0885|50 52|SRE
P08604338A0885|33 37|FLI-1
P08604338A0885|33 37|FLI-1
P08604338A0885|79 81|SRF
P08605302A1770|47 61|deoxyadenosines
P08605302A1770|114 124|first intron
P08605302A1770|173 184|CatA promoter
P08605302A1770|134 141|CatA gene
P08605302A1770|70 79|GATC motifs
P08605324A0434|3 10|viral LTR
P08605324A0434|23 30|promoter
P08605326A0772|11 20|cDNA clones
P08605705A0676|13 23|IgM class CIC
P08605931A0777|70 82|epitope domain
P08605931A0777|118 127|U1A protein
P08605931A0777|95 112|C-terminal RNP motif
P08608222T0000|3 34|membrane-distal cytoplasmic region
P08608222T0000|98 102|STAT3
P08608222T0000|109 122|STAT1 homodimer
P08608222T0000|37 84|human granulocyte colony-stimulating factor receptor
P08608447A0806|50 63|TPI transcripts
P08610272A0265|171 183|growth factors
P08610582A0150|81 82|MR
P08614403A0557|26 42|Rev-erbA alpha mRNA
P08614403A0557|53 66|C2C12 myoblasts
P08614403A0989|24 27|GAL4
P08614403A0989|117 136|GAL4 response elements
P08614403A0989|190 192|LBD
P08614403A0989|204 232|active transcriptional silencer
P08614403A0989|169 188|ligand-binding domain
P08614403A0989|37 49|alpha chimeras
P08614410A0000|22 55|GnRH-responsive gonadotroph cell line
P08614410A0000|132 163|glycoprotein hormone alpha-subunit
P08615012A0627|21 27|ie1 gene
P08615012A0627|95 110|transfected cells
P08615025A1214|26 28|Env
P08615025A1214|169 170|V3
P08615025A1214|225 228|gp41
P08615025A1214|217 221|gp120
P08615025A1214|225 228|gp41
P08615025A1214|342 350|CD4+ cells
P08615025A1214|286 288|CD4
P08615025A1214|26 28|Env
P08615025A1214|217 221|gp120
P08615025A1214|26 28|Env
P08617216A0584|20 23|DnaJ
P08617216A0584|61 64|GrpE
P08617216A0584|93 102|luciferase
P08617216A0584|40 43|DnaK
P08617237A0489|29 33|STAT5
P08617238A0334|30 41|p38 MAP kinase
P08617238A0334|131 151|protein MAPKAP kinase-2
P08617238A0334|211 215|hsp27
P08617238A0334|192 209|heat shock protein 27
P08617238A0334|30 41|p38 MAP kinase
P08617243A0336|15 26|novel protein
P08617311A0979|44 83|membrane exons of avian mIgY and mammalian mIgG
P08617311A0979|64 67|mIgY
P08617311A0979|87 89|IgE
P08617800A0150|27 36|erbB-2 gene
P08617800A0675|0 5|DNase I
P08617800A0675|112 134|core recognition sequence
P08617800A0675|67 69|PBP
P08617802A0993|41 43|SH2
P08617802A0993|49 57|SH2 region
P08617802A0993|108 110|Ras
P08617802A0993|60 66|p120 GAP
P08617802A0993|45 47|SH3
P08618433A0000|8 42|hematopoietic growth factor FLT3 ligand
P08618433A0000|76 97|tyrosine kinase receptor
P08618433A0000|126 130|STK-1
P08618433A0000|118 122|FLK-2
P08618433A0000|33 36|FLT3
P08618433A1720|103 119|leukemia cell lines
P08618433A1720|127 151|hematopoietic cell lineages
P08618882A0343|10 24|RAR alpha mutants
P08618882A0343|103 107|BZLF1
P08618882A0343|60 75|DNA binding domain
P08619866A0000|10 36|serum hepatocyte growth factor
P08619866A0000|38 40|HGF
P08619910A0000|304 306|SNc
P08620856A1172|80 102|carboxy-terminal portion
P08620856A1172|171 186|open reading frame
P08620856A1172|192 218|spermatid-specific c-kit cDNA
P08620856A1172|108 124|mouse c-kit protein
P08620889A0771|38 54|aldolase C promoter
P08620889A0771|95 110|nonneuronal cells
P08621017A1186|24 34|uPA promoter
P08621017A1186|168 170|TRE
P08621017A1186|87 101|nuclear proteins
P08621384A0935|11 23|keratinocytes
P08621384A0935|71 74|EGFR
P08621384A0935|125 132|PKCdelta
P08621384A0935|80 87|TGFalpha
P08621384A0935|41 69|epidermal growth factor receptor
P08621420A1166|46 48|p50
P08621420A1166|69 71|p65
P08621420A1166|79 95|NF-kappaB proteins
P08621420A1166|57 66|antibodies
P08621448A0862|44 47|RL95
P08621448A0862|81 101|C1 site-binding protein
P08621453A0815|11 40|anti-phosphotyrosine antibodies
P08621453A0815|105 122|control fibroblasts
P08621542A0535|8 21|protein kinases
P08621542A0535|54 83|stress-activated protein kinases
P08621542A0535|113 116|IL-1
P08621542A0535|121 124|CD28
P08621542A0535|103 111|TNF-alpha
P08621542A0535|48 51|JNKs
P08621628A1233|5 11|hGRbeta
P08621628A1233|62 69|hGRalpha
P08621659A0189|0 3|Gas6
P08621659A0189|26 34|Gla domain
P08621659A0189|49 81|epidermal growth factor-like repeats
P08621659A0189|14 16|NH2
P08621661A1035|99 106|long cDNA
P08621661A1035|120 121|3'
P08621664A1430|16 36|neurofilament L protein
P08621664A1430|98 100|PKN
P08621664A1430|16 36|neurofilament L protein
P08621714A0361|65 69|Cys25
P08621719A0000|34 59|c-cbl proto-oncogene product
P08621719A0000|87 126|tyrosine phosphorylation upon T cell receptor
P08621719A0568|22 24|Cbl
P08621719A0568|91 104|Grb2 SH3 domains
P08621719A0568|56 59|Grb2
P08621730T0000|2 20|AP-1 binding sequence
P08621730T0000|98 126|transforming growth factor-beta
P08622030A0667|127 151|serum lactate dehydrogenase
P08622645A1026|15 17|VDR
P08622645A1026|75 95|RXR-responsive element
P08622668A1155|54 58|U6 RNA
P08622668A1155|116 129|C1 hnRNP protein
P08622675A0587|22 30|N terminus
P08622675A0587|97 115|lymphoid factor Lef-1
P08622698T0000|9 23|mammalian Notch1
P08622698T0000|38 57|RBPJk-repressed genes
P08622698T0000|86 107|Epstein-Barr virus EBNA2
P08622698T0000|33 36|CBF1
P08622887A1026|54 91|glucocorticoid receptor DNA binding domain
P08622887A1026|117 132|GRE-2 and -3 motifs
P08622887A1026|93 95|DBD
P08622887A1026|93 95|DBD
P08622887A1026|93 95|DBD
P08622893A0000|19 41|receptor tyrosine kinases
P08622893A0000|56 58|EPH
P08622893A0000|43 46|RTKs
P08624445A0257|84 106|transposase binding sites
P08624445A0257|182 189|Waxy gene
P08625806A0263|9 22|zinc finger gene
P08625806A0263|69 70|r5
P08625900T0000|56 72|prolactin promoter
P08625900T0000|85 97|protein kinase
P08625924A0411|31 47|aromatase proteins
P08625924A0411|142 146|mRNAs
P08625987A1086|39 48|VpreB genes
P08626065A0000|80 95|nrdA and citB genes
P08626290T0000|68 82|membrane protein
P08626290T0000|84 87|OmpA
P08626313A1037|12 14|Msp
P08626313A1037|38 50|entire msp gene
P08626325A0543|50 53|UmuD
P08626325A0543|50 53|UmuD
P08626437A0332|0 8|Lyn kinase
P08626437A0332|50 52|BCP
P08626493A1468|32 34|CR2
P08626493A1468|38 40|E1A
P08626493A1468|98 100|pRb
P08626493A1468|187 197|wild type E1A
P08626493A1468|153 165|PEPCK promoter
P08626493A1468|72 96|retinoblastoma gene product
P08626493A1468|38 40|E1A
P08626529A0000|5 18|autoantibodies
P08626529A0799|12 30|proline-rich regions
P08626529A0799|121 133|alpha-helices
P08626529A0799|59 62|p230
P08626529A0799|244 255|granin family
P08626529A0799|300 318|neuroendocrine cells
P08626529A0799|258 271|acidic proteins
P08626529A0799|209 225|amino acids 538-546
P08626529A0799|142 169|dimeric coiled-coil structures
P08626529A0799|59 62|p230
P08626539T0000|36 49|ApoA-I promoter
P08626539T0000|82 97|nuclear receptors
P08626596A0000|26 60|mammalian AMP-activated protein kinase
P08626596A0000|79 93|protecting cells
P08626610A0931|38 44|SREBP-1
P08626610A0931|114 125|COOH terminus
P08626610A0931|71 96|extreme COOH-terminal region
P08626667A1372|97 111|nuclear proteins
P08626667A1517|20 27|promoter
P08626698A0989|27 30|ERK3
P08626698A0989|97 123|anti-ERK3 monoclonal antibody
P08626698A0989|140 158|immune complex kinase
P08626698A0989|45 63|PKC beta transfectant
P08626777A0537|102 117|regulatory region
P08626777A0537|123 137|link protein gene
P08626785A0674|33 62|tissue transglutaminase promoter
P08626785A0674|156 191|mouse tissue transglutaminase promoters
P08626785A0674|256 262|mTGRRE1
P08626785A0674|345 347|DR7
P08626785A0674|369 371|RAR
P08626785A0674|391 403|RXR homodimers
P08626785A0674|373 387|RXR heterodimers
P08626785A0674|349 356|DR5 motif
P08626785A0674|256 262|mTGRRE1
P08626785A0674|232 254|retinoid response element
P08626785A0674|77 100|proximal regulatory region
P08626809A0729|14 17|pPKR
P08627649A0734|56 65|FREJ4 cells
P08627649A0734|112 131|transcription factors
P08627649A0734|182 190|Sp1 family
P08627649A0734|198 200|Sp3
P08627649A0734|209 221|adjacent GC box
P08627649A0734|182 184|Sp1
P08627649A0734|137 141|P4 EBS
P08627649A0734|101 109|Ets family
P08627667A0132|0 4|ZEBRA
P08627667A0132|41 45|c-Fos
P08627667A0132|51 78|homologous DNA-binding domains
P08627667A0132|8 33|cellular AP-1 bZip activators
P08627688A1520|23 32|mutant I299
P08627719A0784|77 90|protein factors
P08627719A0784|250 253|IE63
P08627719A0784|147 150|CstF
P08628251A1455|0 6|CM-ACO3
P08628254A0665|19 21|Jun
P08628254A0665|60 67|AP1 sites
P08628254A0665|23 57|eb1 chimeras are potent transactivators
P08628255A0932|2 22|synchronized HeLa cells
P08628255A0932|124 126|E2F
P08628255A0932|144 156|H2A.1 promoter
P08628255A0932|36 45|luciferase
P08628260A0895|39 48|HepG2 cells
P08628260A0895|78 104|factor VIII promoter sequences
P08628284A0181|46 53|lacZ gene
P08628284A0181|113 117|TRE-1
P08628284A0181|74 85|CYC1 promoter
P08628302A0683|2 7|hnRNP K
P08628302A0683|54 68|RNA polymerase II
P08628302A0683|11 29|transcription factor
P08628681A0364|25 33|4.6 kb mRNA
P08628681A0364|63 71|oocyte RNA
P08630548A0000|7 15|cytokines
P08630548A0000|99 102|IL-1
P08630548A0000|131 139|TNF-alpha
P08630548A0000|105 129|tumor necrosis factor-alpha
P08630548A0000|85 97|interleukin-1
P08630583A1056|7 8|Hb
P08631667A0851|31 43|E. coli tmk gene
P08631667A0851|210 234|tmk-overproducing plasmids
P08631667A0851|91 127|dTMP kinase temperature-sensitive mutant
P08631685A0000|20 67|copper- and topa quinone-containing monoamine oxidase
P08631685A0000|79 101|unknown amine oxidase gene
P08631685A0000|131 155|Escherichia coli chromosome
P08631685A0000|69 72|maoA
P08631760A0609|30 38|SH2 domain
P08631760A0609|93 111|Crk-SH2 binding motif
P08631760A0609|41 43|Crk
P08631797A0982|14 19|ErbB-2
P08631797A0982|26 46|shared receptor subunit
P08631817T0000|17 66|consensus cyclin-dependent kinase phosphorylation site
P08631817T0000|91 138|human deoxyuridine triphosphate nucleotidohydrolase
P08631820A0755|3 6|cDNA
P08631820A0755|25 32|FPS1 gene
P08631822A0677|88 107|soluble VEGF receptors
P08631908A0224|0 2|VDR
P08631908A0224|21 25|VDREs
P08631908A0224|37 39|DR5
P08631908A0224|31 33|DR4
P08631908A0224|4 6|RXR
P08631934A0000|15 23|Myb family
P08631934A0000|71 87|DNA-binding domain
P08631934A0000|26 45|transcription factors
P08631944A0663|38 52|C epsilon4 domain
P08631944A0663|79 81|IgE
P08631944A0663|105 117|J558L cell line
P08631944A0663|72 77|M2 exon
P08631958T0000|0 44|Human cytomegalovirus immediate-early protein IE2
P08631958T0000|86 88|p53
P08631958T0000|53 83|transcriptional repression domain
P08632015A0879|3 12|antibodies
P08632015A0879|52 77|DNA polymerase alpha promoter
P08632015A1226|51 54|DREF
P08632015A1226|229 240|DRE sequences
P08632015A1226|194 220|DNA replication-related genes
P08632018A0587|72 81|UGT1A1 gene
P08632779A0351|3 12|XPG regions
P08632779A0351|172 180|HeLa cells
P08632779A0351|25 27|NLS
P08633855A1064|3 10|lacS gene
P08633855A1064|3 6|lacS
P08633855A1064|123 127|pNZ63
P08633855A1064|24 56|E. coli-Streptococcus shuttle vector
P08634357A0527|23 35|Amphotericin B
P08634420A1784|0 8|HuEpo-R Ab
P08634420A1784|71 77|clone 12
P08634420A1784|96 102|muEpo-R
P08634420A1784|37 40|UT-7
P08634423A0498|53 60|lacZ gene
P08634423A0498|160 170|neutrophils
P08634423A0498|147 152|D cells
P08634697A1155|22 26|cDNAs
P08634697A1155|125 154|evolutionarily conserved domains
P08634697A1155|78 82|Brca1
P08636031A1413|16 27|Fur repressor
P08636031A1413|62 73|pvdS promoter
P08636031A1413|16 18|Fur
P08636031A1413|33 35|150
P08636124A0410|24 27|cDNA
P08636124A0410|46 52|p150TSP
P08636149A0220|4 18|mutant receptors
P08636149A0220|56 62|insulin
P08636428A1363|138 154|autocrine mitogens
P08637006A0000|75 92|cis-acting elements
P08637006A0000|126 133|E2F sites
P08637006A0000|189 195|ATF site
P08637006A0000|107 121|atypical TBP site
P08637711A1121|27 30|IL-6
P08637711A1121|77 89|IRF-1 promoter
P08637711A1121|115 130|Stat-binding site
P08637711A1121|27 30|IL-6
P08637711A1121|203 209|JRE-IL6
P08637711A1121|136 155|adjacent CRE-like site
P08637711A1121|77 81|IRF-1
P08637711A1121|32 46|interferon gamma
P08637717A0817|46 48|p21
P08637717A0817|46 48|p21
P08637717A1231|50 53|PCNA
P08639310A0548|0 3|OND 8
P08639310A0548|118 122|MCP 20
P08639561T0000|14 38|human N-ras codon 61 sequence
P08639561T0000|89 94|8,9,10
P08639742T0000|17 25|cDNA clone
P08639742T0000|70 87|zinc finger proteins
P08639837A0268|26 44|trans-acting factors
P08639837A0268|83 91|Ets family
P08639837A0268|62 67|GATA-1
P08640866A0473|10 30|peripheral blood T cells
P08640866A0473|67 94|anti-CD3 monoclonal antibodies
P08640866A0473|128 130|MEK
P08640866A0473|121 124|MAPK
P08640866A0473|50 52|PHA
P08641705A0986|68 78|codon beta 77
P08641705A0986|135 160|beta-globin gene duplication
P08642282A1009|43 60|regulatory elements
P08642282A1009|98 120|B7 costimulatory molecule
P08642285A1548|0 16|DNA-STAT complexes
P08642285A1548|38 61|Abl-transformed cell lines
P08642285A1548|104 108|STAT1
P08642285A1548|112 116|STAT5
P08642285A1548|87 96|antibodies
P08642285A1548|34 36|Bcr
P08642313A0770|41 46|TAN-1C
P08642313A0770|165 169|Bcl-3
P08642313A0770|138 163|structurally related protein
P08642313T0000|122 149|nuclear factor-kappa B proteins
P08642313T0000|152 157|T cells
P08643111A0855|3 14|humanized LL2
P08643111A0855|120 130|chimeric LL2
P08643111A0855|273 276|mLL2
P08643111A0855|132 135|cLL2
